Wall time,Step,Value
1577706273.875803,0,-144.96995544433594
1577706293.175688,1,-124.97010803222656
1577706321.0660212,2,-112.08702087402344
1577706340.42858,3,-101.6155776977539
1577706370.211842,4,-95.69702911376953
1577706392.085304,5,-89.02772521972656
1577706422.197603,6,-89.82238006591797
1577706442.080269,7,-85.71575164794922
1577706478.609173,8,-91.2337875366211
1577706507.9841611,9,-84.836669921875
1577706546.6262772,10,-84.99407196044922
1577706573.638593,11,-81.01560974121094
1577706611.9046679,12,-78.64158630371094
1577706641.332455,13,-79.044189453125
1577706669.855107,14,-79.80181121826172
1577706692.43767,15,-72.68824768066406
1577706732.080231,16,-72.82819366455078
1577706760.0528388,17,-69.37691497802734
1577706793.28587,18,-73.18737030029297
1577706819.625532,19,-67.07479095458984
1577706856.682753,20,-67.1900405883789
1577706877.635787,21,-63.474124908447266
1577706906.483835,22,-65.12043762207031
1577706929.253237,23,-62.26085662841797
1577706969.573206,24,-64.6087875366211
1577707010.722917,25,-62.72554397583008
1577707044.5218902,26,-60.383331298828125
1577707064.744842,27,-58.802589416503906
1577707097.092051,28,-57.4644660949707
1577707119.7572181,29,-59.40516662597656
1577707154.502938,30,-53.75113296508789
1577707184.4959202,31,-54.31064224243164
1577707214.522485,32,-54.531307220458984
1577707235.065194,33,-48.31339645385742
1577707266.501558,34,-48.9735107421875
1577707287.3227441,35,-50.564571380615234
1577707318.0716631,36,-47.82483673095703
1577707340.1244318,37,-48.326507568359375
1577707369.234421,38,-46.737937927246094
1577707392.058112,39,-47.377315521240234
1577707423.447995,40,-49.320003509521484
1577707446.004928,41,-44.23667907714844
1577707482.806572,42,-46.35459518432617
1577707503.130498,43,-42.05189895629883
1577707532.487891,44,-42.806846618652344
1577707552.2577999,45,-41.34784698486328
1577707581.12232,46,-37.832645416259766
1577707602.269681,47,-38.65093994140625
1577707636.748072,48,-37.44032669067383
1577707659.474729,49,-39.65763854980469
1577707698.007157,50,-43.357704162597656
1577707720.3972101,51,-41.442176818847656
1577707750.8707662,52,-38.224300384521484
1577707772.427823,53,-36.645774841308594
1577707805.269386,54,-34.69524002075195
1577707825.5956979,55,-34.99394607543945
1577707855.604102,56,-34.6881217956543
1577707876.7556942,57,-34.07319641113281
1577707905.485159,58,-37.326690673828125
1577707925.401664,59,-34.10028839111328
1577707953.696384,60,-34.752811431884766
1577707975.0488582,61,-34.86894226074219
1577708006.6865878,62,-33.1169319152832
1577708027.1943738,63,-31.595535278320312
1577708056.173584,64,-35.812191009521484
1577708076.275983,65,-33.16697692871094
1577708106.264155,66,-32.84738540649414
1577708129.360527,67,-32.18274688720703
1577708159.833015,68,-27.517976760864258
1577708180.859615,69,-27.342952728271484
1577708210.559659,70,-23.8958797454834
1577708230.657705,71,-24.42743492126465
1577708259.8753998,72,-27.393558502197266
1577708280.445774,73,-26.75077247619629
1577708309.253982,74,-22.752151489257812
1577708328.8825011,75,-23.735252380371094
1577708357.510304,76,-21.743755340576172
1577708377.1221728,77,-24.252578735351562
1577708407.071566,78,-23.67928695678711
1577708428.870868,79,-21.197696685791016
1577708458.343128,80,-23.663265228271484
1577708481.45255,81,-22.7241268157959
1577708512.180912,82,-23.451007843017578
1577708533.028546,83,-22.991987228393555
1577708561.70283,84,-20.154312133789062
1577708582.221872,85,-19.459962844848633
1577708614.387483,86,-16.957481384277344
1577708634.891831,87,-13.455649375915527
1577708663.402455,88,-15.205994606018066
1577708683.2332869,89,-11.204305648803711
1577708711.515344,90,-12.745433807373047
1577708731.291462,91,-13.136347770690918
1577708759.510483,92,-13.208386421203613
1577708779.230272,93,-12.327848434448242
1577708808.589922,94,-10.997835159301758
1577708830.009651,95,-9.946677207946777
1577708859.3124108,96,-7.4534196853637695
1577708882.424317,97,-8.88615608215332
1577708911.7106738,98,-8.422597885131836
1577708933.7728262,99,-5.064975261688232
