Wall time,Step,Value
1577689239.2165399,0,-146.78392028808594
1577689247.684979,1,-124.96511840820312
1577689271.515352,2,-117.13827514648438
1577689277.569812,3,-116.86640167236328
1577689294.579873,4,-114.50605773925781
1577689300.791966,5,-113.0042953491211
1577689317.443109,6,-98.96710968017578
1577689326.116676,7,-97.65020751953125
1577689345.786973,8,-88.36337280273438
1577689351.898347,9,-92.91124725341797
1577689368.692703,10,-91.77845764160156
1577689376.5375738,11,-89.09681701660156
1577689392.4614558,12,-84.5888900756836
1577689398.208577,13,-92.07801055908203
1577689413.3385348,14,-82.25701141357422
1577689419.14048,15,-83.75924682617188
1577689434.151315,16,-84.06421661376953
1577689439.944963,17,-78.85173034667969
1577689455.333189,18,-76.18102264404297
1577689461.28671,19,-86.3373794555664
1577689477.230245,20,-80.65059661865234
1577689485.913131,21,-79.22772216796875
1577689503.2963321,22,-71.91023254394531
1577689509.135817,23,-65.30653381347656
1577689524.4522939,24,-74.16966247558594
1577689530.039528,25,-68.3833236694336
1577689544.9065459,26,-73.10667419433594
1577689550.64874,27,-71.0870361328125
1577689565.7304971,28,-69.34044647216797
1577689571.3373199,29,-64.28095245361328
1577689586.327575,30,-62.40122985839844
1577689591.935104,31,-71.02670288085938
1577689606.9158442,32,-58.97380065917969
1577689612.736205,33,-62.9666862487793
1577689627.901233,34,-61.27333450317383
1577689633.544322,35,-59.33834457397461
1577689648.7050052,36,-64.62604522705078
1577689654.484521,37,-61.19198226928711
1577689669.5702431,38,-62.384429931640625
1577689675.184025,39,-57.88075637817383
1577689690.391213,40,-62.04610061645508
1577689696.52438,41,-58.88839340209961
1577689711.89931,42,-46.651710510253906
1577689717.7147741,43,-55.20817565917969
1577689733.067778,44,-58.87207794189453
1577689738.874996,45,-49.3833122253418
1577689753.845584,46,-44.89998245239258
1577689759.5810199,47,-51.3808708190918
1577689774.7568,48,-43.1519660949707
1577689780.4928372,49,-50.11695861816406
1577689795.886647,50,-46.11099624633789
1577689801.440609,51,-39.11384582519531
1577689816.43155,52,-50.40007781982422
1577689822.21413,53,-43.38885498046875
1577689837.4360042,54,-44.34911346435547
1577689843.129193,55,-44.09246063232422
1577689858.252481,56,-49.14093017578125
1577689864.199736,57,-43.28504943847656
1577689879.2212741,58,-45.13591003417969
1577689884.8954198,59,-47.451805114746094
1577689899.8067598,60,-40.92621994018555
1577689905.533953,61,-41.82090377807617
1577689921.558636,62,-40.45387268066406
1577689927.3018088,63,-42.723289489746094
1577689942.4950268,64,-38.89453887939453
1577689948.1772249,65,-36.181251525878906
1577689963.445648,66,-42.6249885559082
1577689969.1042619,67,-38.67375183105469
1577689984.14363,68,-39.74515151977539
1577689989.884817,69,-35.05312728881836
1577690005.021444,70,-34.90824508666992
1577690010.663491,71,-36.84947204589844
1577690026.13999,72,-30.772809982299805
1577690031.9794939,73,-33.82209396362305
1577690047.6459782,74,-32.284889221191406
1577690053.461486,75,-39.75840759277344
1577690068.743951,76,-30.9529972076416
1577690074.555285,77,-32.45927429199219
1577690089.871705,78,-30.71395492553711
1577690095.510541,79,-33.35270309448242
1577690110.319396,80,-21.046873092651367
1577690116.4339452,81,-29.578699111938477
1577690132.429187,82,-30.28135108947754
1577690138.2456372,83,-24.667993545532227
1577690153.213612,84,-28.97469711303711
1577690158.857503,85,-28.0196475982666
1577690173.972353,86,-33.01683044433594
1577690179.855357,87,-29.504180908203125
1577690194.872246,88,-30.16392707824707
1577690200.681134,89,-28.302845001220703
1577690215.817037,90,-26.052051544189453
1577690221.7071931,91,-23.47126007080078
1577690236.809904,92,-26.254493713378906
1577690242.7699971,93,-22.5346736907959
1577690258.038709,94,-28.111587524414062
1577690263.791463,95,-24.172494888305664
1577690279.238552,96,-20.23699188232422
1577690285.081702,97,-18.970308303833008
1577690300.2562618,98,-22.867830276489258
1577690305.926684,99,-22.57196807861328
